title,link,description,regular_price,sale_price,discount,sale_period,favorite,labels,badges,product_id
Шоколад белый Миндаль и кокос Alpen Gold 80г,https://magnit.ru/product/1000060406-shokolad_alpen_gold_belyy_s_mindalem_i_kokosovoy_struzhkoy_85g?shopCode=992301&shopType=6,74.99 ₽ -46% 139.99 ₽Шоколад белый Миндаль и кокос Alpen Gold 80г4.8· 270 отзывов,,,,,,,,1000060406
Шоколад белый пористый Россия щедрая душа 75г,https://magnit.ru/product/1000517768-rossiya_shchedraya_dusha_shokolad_belyy_poristyy_75g?shopCode=992301&shopType=6,74.99 ₽ -37% 119.99 ₽Шоколад белый пористый Россия щедрая душа 75г4.8· 23 отзыва,,,,,,,,1000517768
Батончик  шоколадный с карамелью арахисом и нугой Snickers Super 80г,https://magnit.ru/product/1000378229-snickers_shokoladnyy_batonchik_10227820_80g_floupak_rossiya_mars_32_128?shopCode=992301&shopType=6,89.99 ₽Батончик  шоколадный с карамелью арахисом и нугой Snickers Super 80г4.8· 439 отзывов,,,,,,,,1000378229
Шоколад Классический Чизкейк Alpen Gold 85/90г,https://magnit.ru/product/1000286766-shokolad_alpen_gold_oreo_molochnyy_s_chizkeykom_i_pechenem_95g?shopCode=992301&shopType=6,74.99 ₽ -42% 129.99 ₽Шоколад Классический Чизкейк Alpen Gold 85/90г4.8· 145 отзывов,,,,,,,,1000286766
Шоколад молочный Россия щедрая душа 82г,https://magnit.ru/product/1000178484-shokolad_rossiya_molochnyy_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный Россия щедрая душа 82г4.8· 215 отзывов,,,,,,,,1000178484
Шоколад белый Gold Selection Дуэт в клубнике Россия щедрая душа 85г,https://magnit.ru/product/1000253064-shokolad_zolotaya_marka_belyy_duet_v_klubnichnom_85g?shopCode=992301&shopType=6,88.99 ₽ -50% 179.99 ₽Шоколад белый Gold Selection Дуэт в клубнике Россия щедрая душа 85г4.8· 147 отзывов,,,,,,,,1000253064
Шоколад молочный Клубника и йогурт Alpen Gold 80г,https://magnit.ru/product/1647000018-shokolad_alpen_gold_molochnyy_s_klubnikoy_i_yogurtom_85g?shopCode=992301&shopType=6,69.99 ₽ -46% 129.99 ₽Шоколад молочный Клубника и йогурт Alpen Gold 80г4.8· 186 отзывов,,,,,,,,1647000018
Шоколад Молочный с фундуком Milka 80г,https://magnit.ru/product/1000149243-shokolad_milka_molochnyy_s_fundukom_90g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Молочный с фундуком Milka 80г4.8· 203 отзыва,,,,,,Товар недели,Товар недели,1000149243
Шоколад молочный Соленый миндаль и карамель Alpen Gold 80г,https://magnit.ru/product/1000115569-alpen_gold_shokol_moloch_s_sol_mind_karam_85g_mondelis_21?shopCode=992301&shopType=6,74.99 ₽ -46% 139.99 ₽Шоколад молочный Соленый миндаль и карамель Alpen Gold 80г4.8· 64 отзыва,,,,,,,,1000115569
Батончик шоколадный с карамелью Twix Xtra 82г,https://magnit.ru/product/1635300020-shokoladnyy_batonchik_twix_ekstra_82g?shopCode=992301&shopType=6,89.99 ₽Батончик шоколадный с карамелью Twix Xtra 82г4.8· 168 отзывов,,,,,,,,1635300020
Шоколад молочный Alpen Gold 80г,https://magnit.ru/product/1000070202-shokolad_alpen_gold_molochnyy_85g?shopCode=992301&shopType=6,69.99 ₽ -46% 129.99 ₽Шоколад молочный Alpen Gold 80г4.8· 267 отзывов,,,,,,,,1000070202
Шоколад молочный и белый пористый Россия щедрая душа 75г,https://magnit.ru/product/1000178487-shokolad_rossiya_molochnyy_poristyy_belyy_82g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный и белый пористый Россия щедрая душа 75г4.8· 395 отзывов,,,,,,,,1000178487
Шоколад молочный Тропический кокос Alpen Gold 80г,https://magnit.ru/product/1000485858-alpen_gold_shokolad_molochnyy_tropicheskiy_kokos_80g?shopCode=992301&shopType=6,74.99 ₽ -46% 139.99 ₽Шоколад молочный Тропический кокос Alpen Gold 80г4.8· 46 отзывов,,,,,,,,1000485858
Шоколад молочный пористый Россия щедрая душа 75г,https://magnit.ru/product/1000178483-shokolad_rossiya_molochnyy_poristyy_82g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный пористый Россия щедрая душа 75г4.8· 188 отзывов,,,,,,,,1000178483
Шоколад Молочный Caramel Milka 90г,https://magnit.ru/product/1000149246-shokolad_milka_s_karamelnoy_nachinkoy_90g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Молочный Caramel Milka 90г4.9· 154 отзыва,,,,,,Товар недели,Товар недели,1000149246
Шоколад Dark темный фундук Alpen Gold 75г,https://magnit.ru/product/1000219301-shokolad_alpen_gold_dark_temnyy_s_droblenym_fundukom_80g?shopCode=992301&shopType=6,125.99 ₽Шоколад Dark темный фундук Alpen Gold 75г4.7· 32 отзыва,,,,,,,,1000219301
Шоколад молочный Фундук Alpen Gold 80г,https://magnit.ru/product/1000070203-shokolad_alpen_gold_molochnyy_s_droblenym_fundukom_85g?shopCode=992301&shopType=6,74.99 ₽ -46% 139.99 ₽Шоколад молочный Фундук Alpen Gold 80г4.8· 360 отзывов,,,,,,,,1000070203
Шоколад Элитный Бабаевский 75% какао 75г,https://magnit.ru/product/1699900781-shokolad_babaevskiy_elitnyy_75_kakao_100g?shopCode=992301&shopType=6,149.99 ₽ -40% 249.99 ₽Шоколад Элитный Бабаевский 75% какао 75г4.8· 403 отзыва,,,,,,По карте,По карте,1699900781
Шоколад Mmmax молочный Milka 260г,https://magnit.ru/product/1000562863-milka_shokolad_molochnyy_260g?shopCode=992301&shopType=6,399.99 ₽ -35% 619.99 ₽Шоколад Mmmax молочный Milka 260г4.9· 54 отзыва,,,,,,,,1000562863
Шоколад Трилогия Schogetten 100г,https://magnit.ru/product/1000258448-schogetten_trilogia_shokolad_190_02300_portsionnyy_dvukhsloynyy_belyy_s_grilyazhem_i_fundukom_moloch?shopCode=992301&shopType=6,149.99 ₽ -11% 169.99 ₽Шоколад Трилогия Schogetten 100г4.8· 53 отзыва,,,,,,По карте,По карте,1000258448
Батончик шоколадный трио с нежной мякотью кокоса Bounty 82.5г,https://magnit.ru/product/1635300035-shokoladnyy_batonchik_bounty_trio_82_5g?shopCode=992301&shopType=6,89.99 ₽Батончик шоколадный трио с нежной мякотью кокоса Bounty 82.5г4.8· 197 отзывов,,,,,,,,1635300035
Шоколад Gold Selection молочный фундук Россия щедрая душа 85г,https://magnit.ru/product/1000457181-rossiya_shchedraya_dusha_gold_selection_shokolad_molochnyy_s_fundukom_85g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Gold Selection молочный фундук Россия щедрая душа 85г4.7· 79 отзывов,,,,,,,,1000457181
Паста молочно-шоколадная с фундуком Коровка из Кореновки 330г,https://magnit.ru/product/1000301607-korovka_iz_korenovki_pasta_molochno_shokoladnaya_s_fundukom_330g_plastikovaya_banka_zao_alekseevskiy?shopCode=992301&shopType=6,269.99 ₽ -27% 369.99 ₽Паста молочно-шоколадная с фундуком Коровка из Кореновки 330г4.6· 128 отзывов,,,,,,По карте,По карте,1000301607
Шоколад Bubbles Молочный пористый Milka 72г,https://magnit.ru/product/1000060407-shokolad_milka_bubbles_molochnyy_poristyy_80g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Bubbles Молочный пористый Milka 72г4.9· 109 отзывов,,,,,,Товар недели,Товар недели,1000060407
Шоколад молочный Арахис и кукурузные хлопья Alpen Gold 80г,https://magnit.ru/product/1000115573-alpen_gold_shokolad_molochnyy_arakh_kukur_khlop85g_mondelis_21?shopCode=992301&shopType=6,74.99 ₽ -42% 129.99 ₽Шоколад молочный Арахис и кукурузные хлопья Alpen Gold 80г4.8· 18 отзывов,,,,,,,,1000115573
Шоколад молочный с лесным орехом Степ 90г,https://magnit.ru/product/1000269392-step_shokolad_20293_s_lesnym_orekhom_molochnyy_s_nachinkoy_100g_floupak_ao_slavyanka_plyus_15?shopCode=992301&shopType=6,45.99 ₽ -34% 69.99 ₽Шоколад молочный с лесным орехом Степ 90г4.7· 116 отзывов,,,,,,,,1000269392
Шоколад Молочный Клубника со сливками Milka 80г,https://magnit.ru/product/1647000053-shokolad_milka_molochnyy_so_vkusom_klubniki_90g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Молочный Клубника со сливками Milka 80г4.8· 95 отзывов,,,,,,Товар недели,Товар недели,1647000053
Шоколад молочный с кокосом и вафлей Россия щедрая душа 82г,https://magnit.ru/product/1000184101-shokolad_rossiya_s_kokosom_i_vafley_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный с кокосом и вафлей Россия щедрая душа 82г4.8· 135 отзывов,,,,,,,,1000184101
Шоколадный батончик Picnic Big 76г,https://magnit.ru/product/1000136578-shokoladnyy_batonchik_picnic_76g?shopCode=992301&shopType=6,69.99 ₽ -36% 109.99 ₽Шоколадный батончик Picnic Big 76г4.8· 399 отзывов,,,,,,,,1000136578
Шоколад молочный с начинкой Степ 90г,https://magnit.ru/product/1000257744-shokolad_step_molochnyy_s_nachinkoy_100g?shopCode=992301&shopType=6,45.99 ₽ -34% 69.99 ₽Шоколад молочный с начинкой Степ 90г4.8· 84 отзыва,,,,,,,,1000257744
Шоколад Темный Особый 40% 85г,https://magnit.ru/product/1630200091-shokolad_osobyy_temnyy_90g?shopCode=992301&shopType=6,129.99 ₽ -31% 189.99 ₽Шоколад Темный Особый 40% 85г4.9· 413 отзывов,,,,,,,,1630200091
Шоколад темный 41% Российский 75/82г,https://magnit.ru/product/1000090828-shokolad_rossiyskiy_temnyy_90g?shopCode=992301&shopType=6,74.99 ₽ -31% 109.99 ₽Шоколад темный 41% Российский 75/82г4.7· 100 отзывов,,,,,,,,1000090828
Шоколад горький 70% Российский 82г,https://magnit.ru/product/1000070727-shokolad_rossiyskiy_gorkiy_70_kakao_90g?shopCode=992301&shopType=6,74.99 ₽ -31% 109.99 ₽Шоколад горький 70% Российский 82г4.8· 271 отзыв,,,,,,,,1000070727
Шоколад White Chocolate белый Schogetten 100г,https://magnit.ru/product/1000391692-schogetten_shokolad_belyy_100g_k_up?shopCode=992301&shopType=6,134.99 ₽Шоколад White Chocolate белый Schogetten 100г4.9· 1 отзыв,,,,,,,,1000391692
Шоколад Молочный Миндаль и лесные ягоды Milka 80г,https://magnit.ru/product/1000077093-shokolad_milka_molochnyy_s_mindalem_i_lesnymi_yagodami_90g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Молочный Миндаль и лесные ягоды Milka 80г4.8· 84 отзыва,,,,,,Товар недели,Товар недели,1000077093
Шоколад Молочный Caramel Brownie Schogetten 100г,https://magnit.ru/product/1000252931-schogetten_caramel_brownie_shokolad_190_01960_molochnyy_100g_kartonnaya_upakovka_15?shopCode=992301&shopType=6,84.99 ₽Шоколад Молочный Caramel Brownie Schogetten 100г4.8· 29 отзывов,,,,,,,,1000252931
Шоколад молочный Фундук и изюм Alpen Gold 80г,https://magnit.ru/product/1000070206-shokolad_alpen_gold_molochnyy_s_fundukom_i_izyumom_85g?shopCode=992301&shopType=6,74.99 ₽ -46% 139.99 ₽Шоколад молочный Фундук и изюм Alpen Gold 80г4.8· 263 отзыва,,,,,,,,1000070206
Шоколад Темный Люкс Бабаевский 75г,https://magnit.ru/product/3070910770-shokolad_babaevskiy_lyuks_100g?shopCode=992301&shopType=6,149.99 ₽ -31% 219.99 ₽Шоколад Темный Люкс Бабаевский 75г4.8· 228 отзывов,,,,,,По карте,По карте,3070910770
Батончик шоколадный с хрустящей вафлей Goodmix 29г,https://magnit.ru/product/1000483413-goodmix_shok_baton_s_khrust_vaf_29g_f_p?shopCode=992301&shopType=6,35.99 ₽ -28% 49.99 ₽Батончик шоколадный с хрустящей вафлей Goodmix 29г4.9· 258 отзывов,,,,,,,,1000483413
Шоколад молочный с печеньем и начинкой А4 66г,https://magnit.ru/product/1000519148-a4_shokolad_molochnyy_s_pechenem_i_nachinkoy_66_g?shopCode=992301&shopType=6,79.99 ₽Шоколад молочный с печеньем и начинкой А4 66г4.7· 126 отзывов,,,,,,,,1000519148
Шоколад молочный Кофе с молоком Россия щедрая душа 82г,https://magnit.ru/product/1000090831-shokolad_rossiya_kofe_s_molokom_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный Кофе с молоком Россия щедрая душа 82г4.8· 374 отзыва,,,,,,,,1000090831
Шоколад Babyfox 90г,https://magnit.ru/product/1000560048-babyfox_shokolad_0_09kg?shopCode=992301&shopType=6,119.99 ₽ -45% 219.99 ₽Шоколад Babyfox 90г4.9· 167 отзывов,,,,,,,,1000560048
Батончик шоколадный с карамелью и нугой Mars Max 81г,https://magnit.ru/product/1000081132-batonchik_mars_max_81g?shopCode=992301&shopType=6,92.99 ₽Батончик шоколадный с карамелью и нугой Mars Max 81г4.8· 104 отзыва,,,,,,,,1000081132
Шоколад молочный шоколадная начинка с кусочками Oreo Alpen Gold 85г,https://magnit.ru/product/1000383278-alpen_gold_oreo_shokolad_4240297_molochnyy_s_shokoladnoy_nachinkoy_i_kusochkami_pechenya_oreo_90g_fl?shopCode=992301&shopType=6,74.99 ₽ -39% 123.99 ₽Шоколад молочный шоколадная начинка с кусочками Oreo Alpen Gold 85г4.8· 21 отзыв,,,,,,,,1000383278
Конфеты Победа вкуса Charged вафельные в молочном шоколаде без сахара 150г,https://magnit.ru/product/1000457681-pobeda_vkusa_konfety_vafel_v_moloch_shok_b_sakh_charzhed_150g?shopCode=992301&shopType=6,274.99 ₽ -14% 319.99 ₽Конфеты Победа вкуса Charged вафельные в молочном шоколаде без сахара 150г4.7· 5 отзывов,,,,,,По карте,По карте,1000457681
Шоколад Много молока Алёнка 75г,https://magnit.ru/product/1000140977-shokolad-alenka-mnogo-moloka-90g?shopCode=992301&shopType=6,109.99 ₽ -38% 179.99 ₽Шоколад Много молока Алёнка 75г4.8· 108 отзывов,,,,,,По карте,По карте,1000140977
Шоколад Молочный карамельный мусс с миндалем Ritter Sport 100г,https://magnit.ru/product/1000190294-shokolad_ritter_sport_molochnyy_karamelnyy_muss_100g?shopCode=992301&shopType=6,159.99 ₽ -27% 219.99 ₽Шоколад Молочный карамельный мусс с миндалем Ritter Sport 100г4.8· 68 отзывов,,,,,,,,1000190294
Шоколад молочный Черника и йогурт Alpen Gold 80г,https://magnit.ru/product/1647000007-shokolad_alpen_gold_molochnyy_s_chernichno_yogurtovoy_nachinkoy?shopCode=992301&shopType=6,73.99 ₽ -43% 129.99 ₽Шоколад молочный Черника и йогурт Alpen Gold 80г4.8· 149 отзывов,,,,,,,,1647000007
Шоколад Мороженое Schogetten 100г,https://magnit.ru/product/1000391693-schogetten_shokolad_morozhenoe_100g_k_up?shopCode=992301&shopType=6,149.99 ₽ -11% 169.99 ₽Шоколад Мороженое Schogetten 100г4.8· 44 отзыва,,,,,,По карте,По карте,1000391693
Шоколад Aerated белый пористый Alpen Gold 75г,https://magnit.ru/product/1000367306-alpen_gold_shokolad_4254795_belyy_poristyy_80g_floupak_ooo_mondelis_rus_13?shopCode=992301&shopType=6,89.99 ₽ -30% 129.99 ₽Шоколад Aerated белый пористый Alpen Gold 75г4.8· 331 отзыв,,,,,,,,1000367306
Батончик шоколадный белый с карамелью арахисом и нугой Snickers 81г,https://magnit.ru/product/1000209560-snickers_batonchik_10165224_da_81g_myagkaya_upakovka_rossiya_mars_32_160?shopCode=992301&shopType=6,89.99 ₽Батончик шоколадный белый с карамелью арахисом и нугой Snickers 81г4.8· 288 отзывов,,,,,,,,1000209560
Шоколад грейпфрут 57% Бабаевский 75г,https://magnit.ru/product/1000217352-shokolad_babaevskiy_greypfrut_100g?shopCode=992301&shopType=6,149.99 ₽ -40% 249.99 ₽Шоколад грейпфрут 57% Бабаевский 75г4.9· 449 отзывов,,,,,,По карте,По карте,1000217352
Шоколад Mmmax молочный карамель и обжаренный фундук Milka 270г,https://magnit.ru/product/8000011363-milka_mmmax_shokolad_moloch_karam_i_obzh_funduk_260g_fl_p?shopCode=992301&shopType=6,349.99 ₽ -44% 629.99 ₽Шоколад Mmmax молочный карамель и обжаренный фундук Milka 270г4.8· 86 отзывов,,,,,,,,8000011363
Шоколад молочный миндаль вафля Россия щедрая душа 82г,https://magnit.ru/product/1000178485-shokolad_rossiya_molochnyy_s_mindalem_i_vafley_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный миндаль вафля Россия щедрая душа 82г4.8· 137 отзывов,,,,,,,,1000178485
Трюфели Победа Вкуса шоколадные классические без сахара 150г,https://magnit.ru/product/1000387010-pobeda_vkusa_konfety_8108_tryufel_klassicheskiy_vkus_bez_sakhara_150g_floupak_konditerskaya_fabrika_?shopCode=992301&shopType=6,296.99 ₽ -15% 349.99 ₽Трюфели Победа Вкуса шоколадные классические без сахара 150г4.6· 8 отзывов,,,,,,По карте,По карте,1000387010
Шоколад Oreo Молочный с арахисовой пастой и печеньем Alpen Gold 85г,https://magnit.ru/product/1000203066-shokolad_alpen_gold_oreo_molochnyy_s_arakhisovoy_pastoy_95g?shopCode=992301&shopType=6,74.99 ₽ -42% 129.99 ₽Шоколад Oreo Молочный с арахисовой пастой и печеньем Alpen Gold 85г4.7· 34 отзыва,,,,,,,,1000203066
Шоколад Молочный Milka Milka 80г,https://magnit.ru/product/1000149242-shokolad_milka_molochnyy_90g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Молочный Milka Milka 80г4.9· 253 отзыва,,,,,,Товар недели,Товар недели,1000149242
Шоколад Delight Молочный с фундуком и макадамией без глютена Red 70г,https://magnit.ru/product/1000247883-red_shokolad_00_00000500_molochnyy_so_snizhennoy_kaloriynostyu_s_fundukom_i_makadamiey_100g_kartonna?shopCode=992301&shopType=6,199.99 ₽Шоколад Delight Молочный с фундуком и макадамией без глютена Red 70г4.9· 18 отзывов,,,,,,По карте,По карте,1000247883
Шоколад молочный с кокосовой начинкой и вафлей Milk Story 80г,https://magnit.ru/product/1000518453-konfesta_shokolad_moloch_s_kokos_nachin_i_vafley_80g?shopCode=992301&shopType=6,59.99 ₽ -25% 79.99 ₽Шоколад молочный с кокосовой начинкой и вафлей Milk Story 80г4.6· 62 отзыва,,,,,,,,1000518453
Шоколад молочный с молочной начинкой Babyfox 45г,https://magnit.ru/product/1000391920-babyfox_shok_molochnyy_s_molochnoy_nachinkoy_45g?shopCode=992301&shopType=6,49.99 ₽ -30% 71.99 ₽Шоколад молочный с молочной начинкой Babyfox 45г4.9· 556 отзывов,,,,,,По карте,По карте,1000391920
Шоколад молочный карамель арахис Россия щедрая душа 82г,https://magnit.ru/product/1000152340-shokolad_rossiya_molochnyy_karamel_i_arakhis_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный карамель арахис Россия щедрая душа 82г4.8· 237 отзывов,,,,,,,,1000152340
Шоколад белый Schogetten Chai Latte 100г,https://magnit.ru/product/1000562517-schogetten_shokolad_belyy_chai_latte_100g_k_u?shopCode=992301&shopType=6,149.99 ₽Шоколад белый Schogetten Chai Latte 100г4.2· 36 отзывов,,,,,,,,1000562517
Молочный шоколад с молочной начинкой Хрутка 90г,https://magnit.ru/product/8000010028-molochnyy_shokolad_khrutka_s_molochnoy_nachinkoy_90g?shopCode=992301&shopType=6,89.99 ₽ -45% 164.99 ₽Молочный шоколад с молочной начинкой Хрутка 90г4.6· 9 отзывов,,,,,,,,8000010028
Шоколад молочный Соленый арахис и крекер Alpen Gold 80г,https://magnit.ru/product/1000115570-shokolad_alpen_gold_molochnyy_s_solenym_arakhisom_i_krekerom_85g?shopCode=992301&shopType=6,74.99 ₽ -42% 129.99 ₽Шоколад молочный Соленый арахис и крекер Alpen Gold 80г4.8· 132 отзыва,,,,,,,,1000115570
Шоколад молочный с вафельной крошкой Победа 85г,https://magnit.ru/product/1000517945-shokolad_molochnyy_s_vafelnoy_kroshkoy_85g_fl_p_kf_pobeda?shopCode=992301&shopType=6,64.99 ₽Шоколад молочный с вафельной крошкой Победа 85г4.6· 72 отзыва,,,,,,,,1000517945
Шоколад белый с малиной Premiere of taste 80г,https://magnit.ru/product/1000390448-premiere_of_taste_shokolad_belyy_s_malinoy_80g?shopCode=992301&shopType=6,129.99 ₽Шоколад белый с малиной Premiere of taste 80г4.7· 93 отзыва,,,,,,По карте,По карте,1000390448
Шоколад Победа вкуса Молочный на стевии 36% какао 100г,https://magnit.ru/product/1000148117-pobeda_vkusa_shokolad_mol_36_kakao_steviya_100g_kf_pobeda_10?shopCode=992301&shopType=6,229.99 ₽Шоколад Победа вкуса Молочный на стевии 36% какао 100г4.8· 100 отзывов,,,,,,По карте,По карте,1000148117
Шоколад Молочный Алёнка 75г,https://magnit.ru/product/2400022587-shokolad_alenka_molochnyy_100g?shopCode=992301&shopType=6,109.99 ₽ -38% 179.99 ₽Шоколад Молочный Алёнка 75г4.8· 219 отзывов,,,,,,По карте,По карте,2400022587
Шоколад молочный milk&extra hazelnut Ozera 90г,https://magnit.ru/product/1000273743-o_zera_shokolad_psh504_molochnyy_hazelnut_90g_floupak_zao_kdv_pavlovskiy_possad_18?shopCode=992301&shopType=6,131.99 ₽ -12% 149.99 ₽Шоколад молочный milk&extra hazelnut Ozera 90г4.8· 3 отзыва,,,,,,По карте,По карте,1000273743
Шоколадный батончик Milky Way 26г,https://magnit.ru/product/3113530008-batonchik_milkyway_26g?shopCode=992301&shopType=6,24.99 ₽Шоколадный батончик Milky Way 26г4.9· 175 отзывов,,,,,,,,3113530008
Шоколад Bubbles Молочный пористый с Бананово-йогуртовой начинкой Milka 87г,https://magnit.ru/product/1000324321-milka_shokolad_molochnyy_s_bananovo_yogurtovoy_nachinkoy_97g_floupak_ooo_mondelis_rus_15?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Bubbles Молочный пористый с Бананово-йогуртовой начинкой Milka 87г4.8· 20 отзывов,,,,,,Товар недели,Товар недели,1000324321
Батончик в белом шоколаде с фундуком и фисташкой Nuts 47г,https://magnit.ru/product/1000564184-nuts_batonchik_v_belom_shokolade_s_fundukom_i_fistashkoy_47g?shopCode=992301&shopType=6,82.99 ₽ -24% 109.99 ₽Батончик в белом шоколаде с фундуком и фисташкой Nuts 47г4.7· 113 отзывов,,,,,,,,1000564184
Батончик шоколадный лесной орех Snickers 81г,https://magnit.ru/product/1635300123-shokoladnyy_batonchik_snickers_lesnoy_orekh_81g?shopCode=992301&shopType=6,89.99 ₽Батончик шоколадный лесной орех Snickers 81г4.8· 210 отзывов,,,,,,,,1635300123
Шоколад молочный с карамельно-кремовой начинкой и арахисом Milk Story 80г,https://magnit.ru/product/1000518452-konfesta_shokolad_moloch_s_karam_krem_nachin_i_arakh_80g?shopCode=992301&shopType=6,59.99 ₽ -25% 79.99 ₽Шоколад молочный с карамельно-кремовой начинкой и арахисом Milk Story 80г4.6· 79 отзывов,,,,,,,,1000518452
Шоколад молочный с начинкой со вкусом капучино Alpen Gold 80г,https://magnit.ru/product/1000115572-shokolad_alpen_gold_oreo_molochnyy_s_kapuchino_85g?shopCode=992301&shopType=6,74.99 ₽ -42% 129.99 ₽Шоколад молочный с начинкой со вкусом капучино Alpen Gold 80г4.8· 183 отзыва,,,,,,,,1000115572
Конфеты Победа вкуса Charged вафельные в горьком шоколаде без сахара 150г,https://magnit.ru/product/1000457680-pobeda_vkusa_konfety_vafel_v_gork_shok_b_sakh_charzhed_150g?shopCode=992301&shopType=6,274.99 ₽ -14% 319.99 ₽Конфеты Победа вкуса Charged вафельные в горьком шоколаде без сахара 150г4.8· 12 отзывов,,,,,,По карте,По карте,1000457680
Шоколад Путешествие темный 46% Россия щедрая душа 82г,https://magnit.ru/product/1000090827-puteshestvie_shokolad_temnyy_90g_nestle_22?shopCode=992301&shopType=6,78.99 ₽ -25% 105.99 ₽Шоколад Путешествие темный 46% Россия щедрая душа 82г4.8· 22 отзыва,,,,,,,,1000090827
Шоколад Молочный Goldschatz Ritter Sport 250г,https://magnit.ru/product/1000159245-goldschatz_shokolad_molochnyy_250g_fl_p_ritter_11?shopCode=992301&shopType=6,349.99 ₽ -25% 469.99 ₽Шоколад Молочный Goldschatz Ritter Sport 250г4.8· 67 отзывов,,,,,,,,1000159245
Шоколад молочный с изюмом и арахисом Сударушка 82г,https://magnit.ru/product/1000090833-molochnyy_shokolad_sudarushka_izyum_i_arakhis_90g?shopCode=992301&shopType=6,79.99 ₽ -36% 125.99 ₽Шоколад молочный с изюмом и арахисом Сударушка 82г4.8· 28 отзывов,,,,,,,,1000090833
